,Name,Online_order,Book_table,Rate,Dish_liked,Approx_cost(for 2 people)
44788,Melting Spot,No,No,4.0 out of 5,"Sandwiches, Pav Bhaji, Ice Cream Roll, Sev Puri, Vada Pav, Sandwich, Dabeli",600
44792,eat.fit,Yes,No,4.5 out of 5,"Salads, Sandwiches, Chicken Curry, Dal Makhani, Paratha, Noodles, Apple Mojito",500
44793,BOX8- Desi Meals,Yes,No,4.3 out of 5,"Sandwiches, Chocolava, Salads, Rajma, Halwa, Biryani, Chicken Curry",500
44797,Shanmukha,Yes,No,3.8 out of 5,"Fish, Chicken Curry, Paneer Biryani, Basmati Rice, Baby Corn Masala",800
44799,FreshMenu,Yes,No,3.8 out of 5,"Salads, Burgers, Sandwiches, Pizza, Pasta, Fish, Salad",450
44801,Chandni Chowk 2 Bangalore,Yes,No,4.2 out of 5,"Lassi, Soya Chaap, Tandoori Chaap, Malai Chaap, Biryani, Laccha Paratha, Gulab Jamun",400
44803,XO Belgian Waffle,Yes,No,4.4 out of 5,"Chocolate Waffles, Hot Chocolate, Nutella Waffle, Vanilla Ice Cream, Thick Shakes, Kit Kat Shake, Banana Caramel",400
44804,Dal Roti Sabji,Yes,No,4.1 out of 5,"Kadhai Paneer, Paratha",150
44805,Red Kitchen,Yes,No,3.4 out of 5,"Biryani, Chicken Kebab",200
44810,Sree Spicy Hub,Yes,No,3.9 out of 5,"Chicken Biryani, Dum Biryani, Hyderabadi Style Biryani, Chicken Kebab",600
44811,Pathaan Sir,Yes,No,3.3 out of 5,Rolls,250
44812,Zawaa Foods,Yes,No,3.4 out of 5,"Biryani, Thali",400
44813,Bharpur Aahar,Yes,No,3.9 out of 5,Biryani,200
44815,Chakum Chukum Calcutta On A Roll,Yes,No,2.8 out of 5,"Rolls, Chicken Tikka Roll, Egg Roll, Veggie Roll",400
44817,Chowpatty,Yes,No,3.9 out of 5,"Pav Bhaji, Gulab Jamun, Chaat, Paratha, Vada Pav, Buttermilk, Thali",300
44819,Midnight Mania,Yes,No,4.0 out of 5,"Paneer Tikka Pizza, Veggie Pizza, Chocolate Tart, Peri Peri Chicken Pizza, Pasta, Kit Kat Shake, Margherita Pizza",700
44825,Chakh Le Foods,Yes,Yes,3.4 out of 5,"Fish, Aloo Posto",500
44827,Behrouz Biryani,Yes,No,4.0 out of 5,"Biryani, Gulab Jamun, Raita",650
44828,Sagar Deluxe,Yes,No,3.4 out of 5,"Idli Vada, Masala Dosa, Filter Coffee, Curd Rice",350
44831,Delite Chaat House,Yes,No,4.0 out of 5,"Chaat, Dabeli, Pav Bhaji, Sandwiches, Farsan, Sandwich, Vada Pav",300
44832,FoodIshq,Yes,No,4.0 out of 5,"Paratha, Rasgulla, Dal Fry, Paneer Bhurji, Thali, Aloo Jeera",450
44833,Corner House Ice Cream,Yes,No,4.7 out of 5,"Hot Chocolate Fudge, Chocolate Mousse, Brownie Fudge Sundae, Almond Fudge, Banana Split, Ice Cream Sundae, Apple Pie",400
44834,Mojo Pizza - 2X Toppings,Yes,No,4.2 out of 5,"Chocolava Cake, Veggie Pizza, Exotic Garlic Bread, Pepperoni, Bbq Chicken Pizza, Brownie Chocolate",600
44835,Zaitoon,Yes,Yes,4.3 out of 5,"Vegetable Biryani, Barbeque Chicken, Pepper Bbq Chicken, Shawarma, Paneer Tikka, Tomato Soup, Dragon Chicken","1,000"
44836,Leon Grill,Yes,No,4.2 out of 5,"Burgers, Peri Peri Chicken, Fries, Jumbo Royale Burger, Falafel Roll, Shawarma, Chicken Jumbo Burger",500
44838,Kunda Biryani,Yes,No,3.8 out of 5,"Mutton Biryani, Chicken Boneless Biryani, Dum Biryani",800
44840,Motis Kitchen,Yes,No,4.1 out of 5,"Biryani, Roast Beef, Chicken Curry, Tea, Pazham Pori, Fish Fry, Beef Fry",350
44841,Meghana Foods,Yes,Yes,4.2 out of 5,"Chicken Boneless Biryani, Paneer Biryani, Andhra Style Biryani, Tandoori Chicken, Hyderabadi Biryani, Prawn Biryani, Raita",800
44842,Paradise,Yes,No,4.0 out of 5,"Chicken Biryani, Hyderabadi Biryani, Mutton Biryani, Hydrabadi Biryani, Vegetable Biryani, Reshmi Kebab, Mutton Seekh Kabab",800
44845,New Punjabi Hotel,Yes,No,3.2 out of 5,"Rajma, Tandoori Roti, Sweet Lassi, Tandoori Chicken, Naan, Dal Makhani, Veg Thali",400
44848,Dindigul Thalappakatti,Yes,No,4.2 out of 5,"Mutton Biryani, Mutton Sukha, Chicken Varuval, Chicken Boneless Biryani, Kola Urundai, Dindigul Biryani",800
44849,KFC,Yes,No,3.9 out of 5,"Burgers, Ginger Chicken, Hot Wings, Veg Burger, French Fries, Rice Bowl",400
44852,Beijing Bites,Yes,No,3.2 out of 5,"Noodles, Chicken Noodle, Momos, Manchow Soup, Manchurian, Garlic Butter Noodle, Golden Fried Prawns",850
44853,Hyderabad Biryaani House,Yes,No,3.9 out of 5,"Hyderabadi Biryani, Mutton Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Boneless Biryani, Lime Soda, Chicken Dum Biryani",700
44854,Kya Khaoge,Yes,No,3.8 out of 5,"Bhatti Chicken, Chole, Shahi Tukda",300
44855,Andal Mess,Yes,No,3.2 out of 5,"Chicken Kothu Paratha, Dindigul Biryani, Chicken Chukka, Plain Dosa, Mutton Biryani",300
44858,B.M.W - Bhookh Mitaane Wala,Yes,No,3.7 out of 5,"Butter Chicken, Pasta, Rolls, Fruit Custard, Gulab Jamun, Maggi, Halwa",500
44859,Donne Biriyani Mane,Yes,No,3.8 out of 5,"Donne Biryani, Pepper Chicken, Chicken Biryani Combo, Chicken Fry",350
44862,Bhookha Sher,Yes,No,3.2 out of 5,Coffee,350
44864,Green Pepper,Yes,No,3.9 out of 5,"Appam, Chicken Stew, Chicken Curry, Sea Food, Kerala Parotta, Fish Curry, Paratha",600
44865,Punjabi's Food Corner,Yes,No,3.6 out of 5,Roti,250
44866,Hungree Belly,Yes,Yes,3.9 out of 5,"Chaat, Samosa, Gulab Jamun, Pudina Chicken, Butter Chicken, Chole Bhature, Pasta",800
44867,Aathurar,Yes,No,3.3 out of 5,"Sea Food, Jumbo Vanjiram, Chicken Biryani, Mutton Biryani, Naan, Paratha, Chicken Chettinad",600
44868,Moonlight Kitchens,Yes,No,3.9 out of 5,Chilli Chicken,400
44871,Asha Sweets Center,Yes,No,4.1 out of 5,"Badam Milk, Kulfi, Rasmalai, Rasgulla, Masala Poori",200
44872,Plantain Leaf,Yes,No,3.9 out of 5,"Chicken Boneless Biryani, Chicken Guntur, Tandoori Chicken, Crispy Chicken, Panner Tikka, Hyderabadi Biryani, Naan",600
44875,Onesta,Yes,Yes,4.3 out of 5,"Bbq Pizza, Choux Pastry, Bbq Chicken, Tiramisu, Barbeque Chicken, Chicken Calzone, Pasta",600
44877,Sri Udupi Park,Yes,No,3.7 out of 5,"Masala Dosa, Filter Coffee, Tea, Kadhai Paneer, Chaat, Panneer Butter Masala, Vada",300
44878,Cheesy Juicy Burgers,Yes,No,3.8 out of 5,"Burgers, French Fries, Garlic Bread, Sandwiches, Cheesy Juicy Burger, Veg Burger",300
44893,Rannaghar,Yes,No,3.9 out of 5,"Salt Lassi, Kosha Mangsho, Luchi, Sweet Corn Veg Soup",600
44898,Pizza Hut,Yes,No,3.7 out of 5,"Cheesy Maxx Pizza, Pasta, Cheesy Garlic Bread, Pane Pizza, Kurkure Pizza",750
44900,Cream Stone,Yes,No,4.2 out of 5,"Chocolate Icecreams, Coffee Craze, Chocolava, Ferrero Rocher, Waffles, Nutella Brownie, Tiramisu",300
44902,The Biryanis,Yes,No,3.8 out of 5,"Chicken Biryani, Hyderabadi Biryani, Vegetable Biryani, Chicken Majestic, Mutton Biryani, Mirch Ka Saalan, Butter Chicken",500
44904,The Fatty Bao - Asian Gastro Bar,Yes,No,4.6 out of 5,"Ramen, Cocktails, Crab Sushi, Maki Roll, Creme Brulee, Thai Chicken Salad, Beef Salad","1,200"
44905,Coast,Yes,No,3.2 out of 5,Neer Dosa,750
44912,HomeDeli Kitchen,Yes,No,3.0 out of 5,"Neer Dosa, Sea Food, Chicken Sukha, Murgh Ghee Roast, Sweet Corn Soup, Mutton Paya Soup, Fish",600
44913,Bombay Sandwich Company,Yes,No,3.0 out of 5,"Sandwiches, Falafal Sandwich",400
44916,Indiana Burgers,Yes,No,3.2 out of 5,"Burgers, Chicken Whopper Burger",300
44917,Seafood Place,Yes,No,4.1 out of 5,"Sea Food, Masala Prawn, Crabmeat Soup, Crab Ghee Roast, Anjal Masala Fry, Prawn Curry, Tandoori Pomfret",800
44919,The Pizza Bakery,Yes,Yes,4.8 out of 5,"Pizza, Garlic Bread, Beer, Tiramisu, Vanilla Ice Cream, Ravioli, Salads","1,200"
44923,Srinidhi Sagar,Yes,No,3.9 out of 5,"Masala Dosa, Rava Dosa, Rava Idli, Filter Coffee, Vada, Kesari Bath, Veg Sandwich",250
44930,Andhra Ruchulu,Yes,No,4.0 out of 5,Biryani,400
44933,Mota Bawarchi,Yes,No,3.8 out of 5,"Phirni, Panneer Butter Masala, Gulab Jamun, Roti, Murgh Angara, Chicken Biryani, Paneer Angara",500
44934,Lassi Shop,Yes,No,4.0 out of 5,"Faluda, Mango Lassi, Fruit Lassi, Sweet Lassi",100
44936,Suryawanshi,Yes,No,4.1 out of 5,"Thali, Misal Pav, Pandhra Rassa, Roti, Chicken Kolhapuri, Tamda Rassa, Kadhi",700
44937,Delicacy,Yes,No,3.9 out of 5,"Noodles, Momos, Fish, Paneer Satay, Sweet Corn Soup, Basil Chicken, Lime Soda",500
44938,The Waffles Hut,Yes,No,4.0 out of 5,"Belgian Waffles, Belgium Chocolate",400
44940,Subway,Yes,No,3.6 out of 5,Sandwich,500
44941,Just Khao Suey,Yes,No,4.0 out of 5,"Noodles, Burmese Khao Suey, Chocolate Mousse, Coconut Souffle, Veg Momos, Chicken Khao Suey, Noodle Soup",600
44943,Faasos,Yes,No,4.1 out of 5,"Chicken Wrap, Rolls, Chicken Overload, Falafel, Paratha, Paneer Wrap, Veggie Wrap",500
44946,Anand Sweets and Savouries,Yes,No,4.0 out of 5,"Chaat, Rasmalai, Mysore Pak, Rasgulla, Dahipuri, Jalebi, Chole",400
44949,Salt Mango Tree,Yes,Yes,4.2 out of 5,"Appam, Kerala Parotta, Buttermilk, Biryani, Chicken Fry, Fish Curry, Beef Fry",800
44950,Burma Burma,Yes,No,4.7 out of 5,"Samosa Soup, Khau Suey, Khao Suey, Salads, Crispy Corn, Avocado Ice Cream, Mocktails","1,500"
44955,Mani's Dum Biryani,Yes,No,4.0 out of 5,"Raita, Vegetable Biryani, Mutton Biryani, Chicken Kebab Biryani, Paneer Biryani, Chicken Biryani Combo, Lemon Chicken",750
44959,Crunch Pizzas - Express Delivery,Yes,No,3.0 out of 5,"Pizza, Pepperoni",500
44967,Snacks Joint,Yes,No,3.7 out of 5,"Samosa, Poha, Chaat, Ginger Tea, Chhole Bhature, Chole, Aloo Tikki",150
44969,Le Casse CroÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ»te,Yes,No,4.4 out of 5,"Sandwiches, Sandwich, French Fries, Creme Caramel, Onion Rings, Potato Fries",800
44970,Monkey Bar,Yes,No,4.3 out of 5,"Cocktails, Burgers, Nachos, Sandwiches, Butterfly Chicken, Pizza, Dabeli","1,400"
44972,Thunder Fried Chicken,Yes,No,3.6 out of 5,"Chicken Grill, Rolls, Chicken Roll, Shawarma Roll, Rumali Roti, Paneer Roll, Tandoori Chicken",350
44973,Cita Pani,Yes,Yes,3.8 out of 5,"Peri Peri Chicken, Shawarma, Biryani, Rolls",350
44978,Roll Er Dokaan,Yes,No,3.9 out of 5,"Rolls, Paratha, Double Egg Roll",300
44989,No More Hungry,Yes,No,3.3 out of 5,"Thali, Lassi, Litti, Pav Bhaji, Chole Bhature, Aloo Paratha",450
44990,Dhyaana,Yes,No,4.3 out of 5,"Paneer Roll, Momos, Corn Bhel, Thali, Chai, Momo Platter, Corn Momo",600
44991,Frozen Bottle,Yes,No,4.1 out of 5,"Ferrero Rocher, Belgian Chocolate, Brownie, Milk Shake, Cake Jar, Salted Caramel, Chocolate Hazelnut",400
44992,Roll Over,Yes,No,4.2 out of 5,"Rolls, Ice Cream Roll, Brownie, Hot Chocolate, Peri Peri Fries, Irish Coffee, Mississippi Mudpie",500
44994,Cafe Grill,Yes,No,4.1 out of 5,"Shawarma, Rolls, Chicken Grill, Kathi Roll, Chicken Biryani, Paneer Roll, Chicken Shawarama",300
44997,Taiki,Yes,Yes,4.4 out of 5,"Sushi, Ramen, Bibimbap, Salmon, Dumplings, Tempura, Yaki Soba","1,200"
45000,Bombay Brasserie,Yes,No,4.4 out of 5,"Chips, Cocktails, Biryani, Pinacolada, Almond Soup, Mocktails, Kulcha","1,800"
45001,Ovenstory Pizza,Yes,No,4.0 out of 5,"Pizza, Garlic Bread, Lava Cake",800
45004,Treat,Yes,No,3.9 out of 5,"Butter Chicken, Rolls, Railway Mutton Curry, Panneer Butter Masala, Chole Bhature, Palak Paneer, Roti",800
45007,Jonah's,Yes,Yes,4.1 out of 5,"Pizza, Cocktails, Pasta, Mushroom Soup, Panna Cotta, Mocktails, Sandwich","1,100"
45013,Bob's Restaurant,Yes,No,4.0 out of 5,"Palak Chicken, Mutton Keema Masala, Sarson Ka Saag, Mushroom Masala, Makkai Roti, Dal Tadka, Palak Paneer",500
45014,Hotel Karavali,Yes,No,3.7 out of 5,"Sea Food, Fish, Tomato Masala, Murgh Ghee Roast, Neer Dosa, Ghee Roast Mutton, Mutton Sukha",450
45015,Imli,Yes,No,3.8 out of 5,"Potato Fries, Imli, Missi Rotis, Jalebi, Chaat, Shikanji, Ginger Tea",800
45016,Sabari Juice Junction,Yes,No,4.1 out of 5,"Sandwiches, Fruit Juices, Oreo Shake, Sandwich",250
45020,One Chu Restaurant,Yes,No,3.9 out of 5,"Noodles, Momos, Sweet Corn Soup, Egg Fried Rice, Manchurian, Chowmein",600
45025,Malabar,Yes,No,3.0 out of 5,"Malabar Fish Curry, Appam, Sea Food, Idiyappam, Fish Fry, Thali, Ghee Rice",400
45026,Mood For Food,Yes,No,4.0 out of 5,"Tandoori Chicken, Paneer Tikka, Chicken Biryani, Paratha, Butter Chicken",800
45028,Yomama!!,No,No,4.0 out of 5,"Burgers, Pancakes, Steak, Beef Burger, Oreo Thick Shakes, Chicken Juicy Burger, Pasta",800
45029,New Tandoor,Yes,No,3.5 out of 5,"Rolls, Butter Naan, Shawarma, Tandoori Chicken, Biryani, Rumali Roti, Sweet Corn Soup",550
45031,Taza Tawa,Yes,No,3.8 out of 5,"Chicken Grill, Chicken Shawarama, Shawarma, Tandoori Chicken, Rumali Roti, Rolls, Egg Biryani",550
45038,Raat Ki Rani,Yes,No,4.3 out of 5,"Paratha, Kheer, Burgers, Ghee Rice, Rolls, Veg Burger, White Sauce Pasta",400
45039,Nizaam's Kaati Rolls & Kebabs,Yes,No,3.7 out of 5,"Rolls, Paratha, Chicken Chaap, Kathi Roll, Chicken Egg Roll, Mutton Biryani",450
45045,Kobe Sizzlers,Yes,Yes,4.1 out of 5,"Sizzler Brownie, Ice Tea, Paneer Steak, Momos, Pizza, Sangria, Tomato Soup","1,500"
45047,Mother's Meal,Yes,No,3.8 out of 5,"Sweet Lassi, Thali, Kadhai Paneer, Kadhi, Aloo Paratha, Paneer Bhurji, Chole",200
45053,Peace Restaurant,Yes,No,2.7 out of 5,"Momos, Thukpa, Butter Tea",500
45055,Red Chilliez,Yes,No,3.5 out of 5,"Neer Dosa, Butter Naan, Chicken Curry, Butter Chicken, Panneer Butter Masala, Dal Tadka, Biryani",650
45056,The Twisted Desi,Yes,Yes,NEW,"Vegetable Biryani, Dal Makhani, Matar Methi Malai, Pasta, Rasmalai, Gulab Jamun, Diwani Handi","1,000"
45060,GMT - Gelateria Montecatini Terme,Yes,No,4.4 out of 5,"Gelato Ice Cream, Chocolate Icecreams, Tiramisu, Coffee, Italian Icecream, Caramel Ice Cream, Waffle Cone",300
45066,Srinathji's,Yes,Yes,3.6 out of 5,"Palak Khichdi, Hyderabadi Biryani, Seekh Kebab, Chole, Naan, Chaat, Fries",800
45071,Gooey & Fluffy,Yes,No,3.9 out of 5,Salted Caramel Brownie,200
45075,Tayabbs,Yes,No,4.0 out of 5,"Rolls, Beda Roti, Chicken Malai Roll, Paneer Roll, Peri Peri Chicken, Mutton Baida Roti, Chicken Beda",500
45088,A2B - Adyar Ananda Bhavan,Yes,No,3.0 out of 5,"Pav Bhaji, Filter Coffee, Onion Dosa, Mysore Pak, Vada, Filter Kaapi, Rava Dosa",400
45090,Sethji Home Made Food,Yes,No,3.5 out of 5,"Paratha, Gulab Jamun, Sweet Lassi, Paneer Bhurji, Chaach, Paneer Parantha, Raita",350
45091,Chillikum,Yes,No,3.6 out of 5,"Paneer Biryani, Vegetable Biryani, Paratha",350
45099,Kitchen of Joy,Yes,No,4.2 out of 5,"Rolls, Egg Roll, Chai, Ginger Tea, Biryani, Rasgulla, Luchi",400
45104,Bekal,Yes,No,4.0 out of 5,"Prawn Ghee Roast, Fish, Beef Fry, Neer Dosa, Appam, Chicken Stew, Sol Kadhi",700
45107,Singh Saab,Yes,No,3.7 out of 5,"Butter Chicken, Chaach, Paratha, Tandoori Chicken, Biryani, Lassi, Dal Makhani",800
45113,Laddoos,Yes,No,2.9 out of 5,"Paratha, Panipuri, Puri Sabzi, Rasgulla, Rasmalai, Pav Bhaji, Samosa Chaat",250
45115,McDonald's,Yes,No,3.0 out of 5,French Fries,500
45117,Kanti Sweets,Yes,No,4.0 out of 5,"Rasmalai, Gulab Jamun, Pav Bhaji, Chaat, Sev Puri, Kaju Katli",400
45131,Wangs Kitchen,Yes,No,2.5 out of 5,"Wonton, American Chopsuey",700
45133,S.W.A.T Food Truck,Yes,No,3.7 out of 5,"Burgers, Nachos, Fries, Peri Peri Prawn, Fish, Virgin Mojito, Chips",450
45134,Juicy,Yes,No,3.8 out of 5,"Sandwiches, Chicken Sandwich, Faluda, Egg Sandwich, Salads, Fruit Salad",200
45135,Shake It Off,Yes,No,4.2 out of 5,"Momos, Thick Shakes, Peri Peri Fries, Burgers, Hot Chocolate, Sandwich, Virgin Mojito",600
45143,Kaayal,Yes,No,3.2 out of 5,"Appam, Fish Curry, Buttermilk, Chicken Stew, Kadala Curry, Kerala Parotta, Roast Beef",500
45153,Spicy Corner,Yes,No,3.9 out of 5,"Noodles, Paneer Manchurian, Chaat, Paratha, Paneer Fried Rice, Babycorn Manchurian",250
45162,Johny's Kitchen,Yes,No,4.1 out of 5,"Chole, Veg Thali",300
45186,Drunken Monkey,Yes,No,3.9 out of 5,"Sandwiches, Thick Shakes, Nutella Shake, Sandwich, Coffee, Choco Almond",500
45195,Big Mummy,Yes,No,4.0 out of 5,"Burgers, Raita, Fries, Chicken Noodle, Bbq Burger, Poha, Sandwiches",400
45196,Rajan's Cafe,No,No,2.8 out of 5,"Coffee, Vegetable Biryani, Masala Chai, Roti",300
45197,Status,Yes,No,3.6 out of 5,"Filter Coffee, Crab Soup, Fish, Fried Rice",550
45204,Chetty's Coffee,Yes,No,3.9 out of 5,"Vada, Kesari Bath, Filter Coffee",150
45210,Suchithra Biryani House,No,No,3.7 out of 5,"Hyderabadi Biryani, Chicken Biryani, Prawn Biryani, Mutton Biryani, Ghee Roast Biryani, Chicken Guntur",450
45211,Hotel Salala,No,No,3.8 out of 5,Biryani,400
45221,Viceroy's Sarathi,Yes,No,3.8 out of 5,"Sea Food, Neer Dosa, Murgh Ghee Roast, Fish, Chicken Sukha, Beer, Butter Chicken",750
45238,Chatora Singh,Yes,No,3.9 out of 5,"Chaat, Panipuri, Rajma Chawal, Dahi Bhalle, Dhokla, Thepla",200
45242,Bun Maska Chai,Yes,No,3.9 out of 5,"Poha, Bun Maskas, Ginger Chai, Sabudana Khichdi, Vada Pav, Paneer Akuri, Tea",250
45253,Ginseng - Royal Orchid Hotel,No,Yes,3.9 out of 5,"Fish Chilli, Tea, Lamb, Thai Wok Chicken","1,900"
45266,Palki Restaurant,No,No,2.8 out of 5,"Murgh Ghee Roast, Biryani, Dal Fry",500
45278,Samosa Party,Yes,No,4.1 out of 5,"Ginger Tea, Cheesy Samosa, Ginger Chai, Masala Tea, Indori Poha, Chocolate Samosa, Chicken Samosa",150
45284,Hello Resto-Pub,Yes,Yes,4.1 out of 5,"Burgers, Beef Steak, Cocktails, Chips, Chicken Soup, Onion Rings, Chicken Wings",900
45287,Mac Fast Food,No,No,2.7 out of 5,Burgers,400
45291,NH8,Yes,Yes,4.1 out of 5,"Rajasthani Thali, Panneer Butter Masala, Shrikhand, Papdi Chaat, Rasgulla, Jal-jeera, Lunch Thali",800
45292,Chungs Pavilion,Yes,No,3.9 out of 5,"Noodles, Drunken Chicken Wings, Sweet Corn Soup, Spring Roll",700
45310,Achayyan's,Yes,No,3.8 out of 5,"Beef Fry, Kerala Parotta, Fish, Roast Beef, Appam, Crab Toast, Mackerel Fry",350
45314,Namdhari's Salad Bar,No,No,3.9 out of 5,"Salads, Pasta, Sandwiches, Momos, Hakka Noodles, Veg Salad, Russian Salad",400
45315,The Rolling Pin,No,No,4.1 out of 5,"Hot Chocolate, Coffee, Cappuccino, Croissant, Cheesecake, Carrot Cake, Sourdough Bread",400
45320,La Madeleine Patisserie,No,No,3.9 out of 5,"Cup Cake, Cheesecake, Belgian Chocolate Cake, Chocolate Raspberry Cake, Blueberry Cheese Cake",200
45346,Mukati Kitchen,Yes,No,3.7 out of 5,"Cajun Potato, Pasta, Panneer Butter Masala, Sandwich, Kulcha, Raita, Dal Makhani",500
45355,Lono,No,Yes,4.2 out of 5,"Cocktails, Pizza, Fish, Gooey Brownie, Chips, Apple Pie, Nachos","1,500"
45357,The French Loaf,Yes,No,3.5 out of 5,"Cup Cake, Almond Pie, Chicken Delight, Apple Pie, Chicken Quiche",400
45359,Bottle & Glass,No,Yes,4.0 out of 5,"Bbq Chicken Pizza, Sangria, Cocktails, Beer, Mai Thai, Chicken Nachos, Burgers","1,400"
45360,Tandoori Taal,Yes,Yes,4.3 out of 5,"Veg Pulao, Sarso Da Saag, Murgh Makhani, Makkai Roti, Tandoori Chicken, Dal Makhani, Paya Shorba",900
45366,Bhartiya Jalpan,No,No,4.1 out of 5,"Chaat, Jalebi, Rasgulla, Panipuri, Dhokla, Kullad Chai, Pav Bhaji",700
45367,Nandhana Palace,No,Yes,4.2 out of 5,"Andhra Meal, Mutton Soup, Vegetable Biryani, Non Veg Thali, Chicken Boneless Biryani, Mutton Biryani, Chilli Chicken",800
45368,Sanchez Taqueria & Cantina,No,No,4.3 out of 5,"Churros, Tacos, Salad, Nachos, Chips, Wet Burrito, Avocado Toast",800
45369,Aaha Andhra,No,No,4.2 out of 5,"Faluda, Chicken Curry, Keema Biryani, Vegetable Biryani, Chicken Dosa, Guntur Chicken Biryani, Thali",900
45371,Forage,No,Yes,4.2 out of 5,"Panna Cotta, Pasta, Steak, Lamb Chops, Chocolate Tart, Chocolate Mousse, Fish","1,500"
45373,Anjappar,No,No,3.8 out of 5,"Biryani, Mutton Bone Soup, Crab Toast, Uttapam, Fish, Sea Food, Chicken Chettinad",650
45379,Chefkraft,No,No,3.9 out of 5,"Salads, Salad, Sushi, Kung Pao Chicken, Bento Box, Nasi Goreng, Baked Yogurt",800
45380,New Punjabi Hotel,No,No,3.7 out of 5,"Tandoori Chicken, Aloo Paratha, Chicken Curry, Butter Naan, Paneer Bhurji",300
45382,Nandhini Paradise,No,Yes,3.7 out of 5,"Thali, Andhra Meal, Chicken Biryani, Roti, Andhra Chilli Chicken, Hyderabadi Biryani, Mutton Biryani",600
45384,The ThickShake Factory,No,No,4.0 out of 5,"Thick Shakes, Pineapple Passion",350
45388,California Burrito,No,No,4.1 out of 5,"Rice Bowl, Rice Bowls, California Burrito, Bbq Chicken, Nachos, Salads, Spicy Paneer",400
45389,Madurai Idly Shop,No,No,3.8 out of 5,"Vada, Coffee, Masala Dosa, Idli, Tea, Podi Dosa, Pongal",200
45399,Calcutta Victoria Chat House,No,No,3.6 out of 5,"Chaat, Pav Bhaji, Panipuri, Kheer, Jalebi, Tea, Dahipuri",150
45401,Bengaluru House,No,No,3.7 out of 5,"Biryani, Mutton Fry, Buttermilk",500
45402,Frootality,No,No,4.0 out of 5,"Sandwiches, Chicken Sandwich, Paneer Sandwich, Fruit Juices, Hot Chocolate, Oreo Shake, Watermelon Juice",400
45405,Fazzito Kitchen,No,No,3.8 out of 5,"Tandoori Chaap, Rice, Tandoori Chicken, Tandoori Platter",700
45406,Tempteys,Yes,No,4.1 out of 5,"Gelato, Thick Shakes, Corn Flakes, Raspberry Shake, Brownie, Oreo Shake",400
45420,New Shanthi Sagar,No,No,2.8 out of 5,"Coffee, Vada, Rava Masala Dosa, Faluda, Rice, Idli",450
45432,Allahabadi Tadaka,No,No,3.0 out of 5,Dal Tadka,250
45438,Biryani Club,No,No,2.9 out of 5,Ambur Biryani,400
45439,Kanti's,No,No,3.1 out of 5,Thali,300
45440,Bhikaram Chandmal Bhujiawala,No,No,3.7 out of 5,"Chaat, Pav Bhaji, Panipuri, Samosa, Chole Bhature, Jalebi, Paratha",200
45451,New Khaayaal's Restaurant,No,No,3.0 out of 5,"Chicken, Biryani, Rice, Garlic Naan, Roti",500
45457,The Tower Of Pizza,No,No,2.8 out of 5,Coorg Pandi Pizza,500
45466,White Olives,No,No,3.4 out of 5,"Dal Fry, Ghee Rice",300
45470,Late Night,No,No,2.8 out of 5,Tandoori Chicken,500
45474,Eggzotic,No,No,3.9 out of 5,"Panneer Butter Masala, Rolls, Chicken Roll, Paneer Roll, Tandoori Chicken, Naan, Egg Bhurji",500
45475,Kerala Vibes,No,No,3.6 out of 5,Roast Beef,500
45502,Sweet Truth,Yes,No,4.3 out of 5,"Cheesecake, Chocolate Decadence",500
45504,Kanti Sweets,Yes,No,4.1 out of 5,Kachori,400
45506,The Leela Cake Shop - The Leela Palace,No,No,3.9 out of 5,Macaroon,"1,200"
45525,Amma's Pastries,No,No,4.0 out of 5,"Truffle, Cheesecake",400
45549,Natural Ice Cream,No,No,4.6 out of 5,"Mango Ice Cream, Coffee, Chocolate Icecreams, Tender Coconut Ice Cream, Kala Jamun, Kesar Pista, Malai Korma",200
45590,Tempteys,Yes,No,4.1 out of 5,"Gelato, Thick Shakes, Corn Flakes, Raspberry Shake, Brownie, Oreo Shake",300
45611,Jamavar - The Leela Palace,No,Yes,4.2 out of 5,"Chicken Chettinad, Vegetable Stew, Lobster, Kulfi, Chicken Curry, Butter Naan, Papdi Chaat","4,000"
45613,CloudNYN - Sterling Mac Hotel,No,No,4.0 out of 5,"Pizza, Cocktails, Cheese Balls","1,000"
45616,Tiger Trail - Royal Orchid Hotel,No,Yes,4.1 out of 5,"Dahi Kebab, Nalli Nihari, Lamb, Rich Chicken Broth, Tashkent Naan, Paneer Tikka, Aam Panna","2,000"
45618,Le Cirque Signature - The Leela Palace,No,Yes,4.3 out of 5,"Wine, Asparagus Soup, Creme Brulee, Pasta, Ravioli, Tiramisu, Lobster Bisque","6,000"
45619,Zen - The Leela Palace,No,Yes,4.2 out of 5,"Wine, Dumplings, Set Menu, Chicken Dim Sum, Tom Kha Soup, Prawn Crackers, Fish","3,500"
45620,XU,No,Yes,3.9 out of 5,"Cocktails, Biryani, Pizza, Veg Sushi Platter, Salads, Cheesecake, Lamb Chops","2,400"
45636,Pizza Hut,Yes,No,3.7 out of 5,"Pasta, Pepperoni, Supreme Pizza, Garlic Bread Stick, Masala Lemonade",750
45639,Library Bar - The Leela Palace,No,No,3.9 out of 5,Decor,"3,000"
